ID,MTO_PIA
1,95969.66248124262
2,95936.02471093342
3,95872.25855207402
4,95872.25855220344
5,95780.67912892807
6,95948.62323909812
7,95943.45674110037
8,95763.92696594555
9,95823.50010086804
10,95969.6624829115
11,95969.73731723372
12,95844.42059874171
13,95737.80817628202
14,95884.22823262698
15,95899.64039610521
16,95737.26457405846
17,95852.41691398602
18,95943.4567414798
19,95790.38452948295
20,95761.71720062043
21,95769.52366089597
22,95844.4205986195
23,95933.0005041117
24,95763.92696589662
25,95841.10621942619
26,95825.03434010965
27,96106.59309240071
28,95959.05212294306
29,95817.13977673883
30,95817.13977532873
31,95834.2819280259
32,95769.52366117689
33,95763.92696595199
34,95763.92696425982
35,95737.69784795905
36,95933.0005038713
37,95933.00049152871
38,95943.45674122294
39,95943.45672875777
40,95769.22699441099
41,95837.37172920635
42,95737.8081882849
43,95737.80818833411
44,95761.64899266086
45,95872.2585520484
46,95737.28229004327
47,95761.71720099985
48,95763.92696594477
49,95844.42059693376
50,95844.42059871956
51,95884.22823094125
52,95899.64039428129
53,95936.02469835605
54,95871.91904311161
55,95780.67912883485
56,95780.67911641253
57,95834.28192880923
58,95769.52364857707
59,95786.95130617825
60,95823.50011292013
61,95872.2585521837
62,95883.19858354944
63,95841.10623186013
64,96068.6422453801
65,95769.5236606604
66,95936.02469833908
67,95969.66248292835
68,95825.5669960746
69,95823.50011373521
70,95825.56699608365
71,95841.10623200382
72,95790.38453010026
73,95899.6422056407
74,96106.59309223616
75,95790.38453008598
76,95817.1397767531
77,95933.00050412853
78,95790.4497823746
79,95790.44978302685
80,95771.12242389939
81,95823.50011356961
82,95786.95130631073
83,95763.92696624415
84,95899.64220574152
85,95771.1224113164
86,95761.71720022542
87,95769.22699389291
88,95987.48867714565
89,95825.03432859395
90,95786.95130629888
91,95737.28228990508
92,95737.8081888506
93,95884.22823236976
94,95761.64898177802
95,95852.41691231712
96,95852.41691414104
97,95834.28192880754
98,95737.80818859338
99,95936.02469854208
100,95871.91903219752
101,95871.91903222876
102,96106.59309196747
103,95803.763230854
104,95899.6403959758
105,95969.66248267113
106,95872.25855180802
107,95761.71719919192
108,95763.92696568833
109,95825.03434117693
110,96106.59309183806
111,95948.62323925315
112,95763.92696581091
113,95786.95130591228
114,95899.64220577342
115,95844.42059848485
116,95959.05213445878
117,95817.13977687787
118,95834.2819287782
119,95817.13977676444
120,95737.26458523134
121,95790.44978303561
122,95769.22699298247
123,95834.28192868458
124,95834.28192877898
125,95769.52366112797
126,95936.02471090778
127,95943.45674135759
128,95790.38451745234
129,95790.3845299844
130,95834.28192876469
131,95769.52366129908
132,95763.92696603207
133,95841.10623213602
134,95786.95130628203
135,95987.48867778103
136,95803.76321851139
137,95899.6397927017
138,95936.02471104683
139,95948.62323885772
140,95943.45674083475
141,95769.22699441818
142,95969.7373158052
143,95737.69784800075
144,96106.59309249936
145,95883.19858342005
146,95841.10621939495
147,95763.92696606398
148,95959.05213471758
149,95943.45674137521
150,95948.62323846274
151,95803.76321842485
152,95899.64220538655
153,95987.48867780693
154,95737.26458583298
155,95737.80817646807
156,95948.62323911497
157,95737.69784722631
158,95737.69784786168
159,95823.50011278439
160,95763.92696598535
161,95899.64220564975
162,95969.73731761314
163,95959.05213502006
164,95823.50011330184
165,95737.26458678512
166,95827.98091286879
167,95825.0343286127
168,95780.67912867472
169,95823.50011317962
170,95834.28191609707
171,95987.48867767754
172,95761.64899446815
173,95827.98091275804
174,95936.02471040179
175,95780.67911622649
176,95780.67912710932
177,95790.38453004597
178,95761.71718830908
179,95769.52366129741
180,95959.05213549397
181,95837.37172936139
182,95737.26458678048
183,95737.26458599846
184,95737.26458665986
185,95871.91904493552
186,95780.67912891906
187,95761.71720088643
188,95769.22699454759
189,95769.52366118567
190,95763.92696607675
191,95786.95129361957
192,95786.95130630248
193,95786.95130612057
194,95987.48867727506
195,96106.59307990923
196,95884.22823261013
197,95737.26458614178
198,95825.56699438886
199,95790.38453011379
200,95769.52364849053
201,95763.92696607418
202,95841.10623185032
203,95786.95130448375
204,95761.64899445916
205,95899.6403959181
206,95844.42059873206
207,95827.98091249903
208,95827.98090020631
209,95852.41691400397
210,95790.38451739962
211,95761.71720087765
212,95834.28192879612
213,95769.52366091285
214,95841.10623197792
215,95737.69784762131
216,95786.95130551724
217,95899.64220562387
218,95899.64220576291
219,95737.26458679646
220,95737.28229001763
221,95834.28192816164
222,95737.69784801672
223,95786.95130630766
224,95844.42058605092
225,95761.6489944688
226,95933.00050425793
227,95933.00050426672
228,95841.71943783535
229,95825.56699618715
230,95987.48866519806
231,95899.64220577887
232,95844.42058593313
233,95959.05213568106
234,95959.05213555165
235,95817.13977610343
236,95884.22823276823
237,95737.28229002729
238,95737.28227730526
239,95871.91904474841
240,95872.25855154241
241,95969.66248306242
242,95823.50011355458
243,96068.64225796699
244,95763.92696512023
245,95737.80818895141
246,95933.00050360571
247,95780.67912892447
248,95763.92696607855
249,95737.80817616422
250,95827.98091275625
251,95837.37171667612
252,95823.50011352316
253,95737.69784801439
254,95823.50011351172
255,95803.76323110866
256,95780.67911624798
257,95763.92696568856
258,95852.4169141297
259,95823.50011344384
260,95737.26458674482
261,95769.22699452195
262,95803.76323111122
263,95780.67912884157
264,95899.64220578194
265,95825.56698350603
266,95817.13977679548
267,95959.05213552606
268,95899.64039570981
269,95933.0005024428
270,95834.28192853369
271,95763.92695339561
272,95825.03434114486
273,95825.03434133195
274,95987.48867754373
275,95737.80818885937
276,95936.02471066739
277,95872.25855220649
278,95780.67912877821
279,95841.71945041831
280,95825.56699555811
281,95786.95130620222
282,95844.42059836228
283,95817.1397768682
284,95761.64899408938
285,95872.2585521778
286,95852.41691400444
287,95790.44978301
288,95769.52366131508
289,95769.52366115655
290,95763.92696606774
291,95763.92696595096
292,96106.59309260285
293,95959.05213385716
294,95852.41691400032
295,95780.67912891725
296,95948.62323742924
297,95943.45674134075
298,95943.45674149577
299,95825.56699581738
300,95763.92696605809
301,95763.92695337697
302,95786.95130616949
303,95899.64220538347
304,95899.64220564948
305,95844.42059860265
306,95817.13977506995
307,95899.6397928311
308,95790.44978316502
309,95825.56699619681
310,95790.38453013763
311,95790.38452974222
312,95969.73731683871
313,95969.73730489111
314,95987.48867791043
315,95948.62323859215
316,95769.22699453161
317,95769.22699374959
318,95834.28192880678
319,95823.5001131794
320,95823.5001008368
321,95899.64220575325
322,95817.13977675566
323,95761.64899435538
324,95899.6397924357
325,95899.64038339845
326,95969.66248241186
327,95871.91904428085
328,95790.44978306665
329,95841.71945044394
330,95841.71945038626
331,95769.22698180958
332,95769.5236603516
333,95841.1062194137
334,95761.64898174678
335,95841.71943786659
336,95969.7373174997
337,95763.92696607599
338,95825.03434120254
339,95825.03433950803
340,95737.69784619281
341,95872.25853937888
342,95872.25855219929
343,95872.25855197565
344,95769.52364859135
345,95825.03432864667
346,96068.64225740435
347,96068.64225793623
348,95823.50011308114
349,95823.50011329628
350,95841.71945055852
351,95834.28192864958
352,95786.95130591249
353,95823.50011343842
354,95803.76323123806
355,95763.92696579403
356,95899.64220572721
357,95899.63978010739
358,95771.1224240288
359,95825.03434119376
360,95933.0005034763
361,95737.80818819837
362,95737.26458665571
363,95841.71944960987
364,95841.7194505728
365,95786.95130623029
366,95763.92696595634
367,95871.91904397204
368,95823.50011340805
369,95786.9513060347
370,95771.1224233934
371,95948.62323923896
372,95884.22823197475
373,95841.71944978293
374,95834.28192842398
375,95834.2819288122
376,95786.95130621601
377,95823.5001117509
378,96106.59309247347
379,95899.64220565831
380,95827.9809128944
381,95899.64038336721
382,95737.26458677082
383,95780.67912880384
384,95834.28192880034
385,95769.52364850482
386,95769.52366052466
387,95737.69783527873
388,95823.50011343662
389,95884.22823276516
390,95769.2269944094
391,95969.7373169681
392,95786.95130620929
393,95823.50010105409
394,96106.59309236555
395,95852.41691411543
396,95737.28228988824
397,95737.28227733652
398,95780.67911619524
399,95790.3845283137
400,95763.92696608574
401,95786.95129356965
402,95786.95129348311
403,95803.76323002714
404,95737.80817625075
405,95737.28228964786
406,95871.91904480611
407,95780.67912893323
408,95834.2819286869
409,95834.28191610958
410,95769.52366126988
411,95825.03434130631
412,95786.95130615265
413,95837.37171662338
414,95933.00050425074
415,95852.41691334304
416,95780.67912853784
417,95803.76323123343
418,95936.02471106587
419,95936.02470923887
420,95790.44978315546
421,95790.38452999944
422,95841.1062193084
423,95803.7632312494
424,95817.13977675678
425,95780.67912881268
426,95987.4886652293
427,95844.42059862828
428,95872.2585518111
429,95872.25855206525
430,95872.25855218746
431,95763.92696596317
432,95987.4886652508
433,95780.67912827223
434,96068.64225806123
435,95823.50011345423
436,95771.12242326401
437,95936.02469823827
438,95936.02471083503
439,95841.10623211696
440,95827.9809127394
441,95737.69784788498
442,95790.38452983543
443,95899.64220577474
444,95987.48867779788
445,95884.2282200584
446,95837.37172923198
