ID,MTO_PIA
1,118499.5641501249
2,105481.9278691941
3,86904.88054927389
4,86904.88057316338
5,77319.64334151353
6,110040.70058394653
7,108133.27582726862
8,74204.67477711006
9,86558.24134774147
10,118499.56445914715
11,118531.67226054368
12,80623.01471000131
13,69803.21754652403
14,89901.98192253971
15,109441.3523000166
16,69720.12406928005
17,82338.96548743882
18,108133.27588690109
19,79242.39500192768
20,73808.21142566172
21,75210.68061660054
22,80623.01469323084
23,104436.64326605391
24,74204.67477231464
25,79937.72669497447
26,76749.600545425
27,146947.07327742915
28,114103.87028255532
29,75268.20375293566
30,75268.20349169237
31,78553.32311322492
32,75210.68066611544
33,74204.6747802134
34,74204.67445987272
35,69772.94637304543
36,104436.643231407
37,104436.6409543051
38,108133.27585081737
39,108133.27355016672
40,75167.35045785093
41,79174.34922021702
42,69803.21977377975
43,69803.21977111208
44,73799.70252076749
45,86904.88052902279
46,69719.74581736393
47,73808.21148529419
48,74204.67477309438
49,80623.0143759935
50,80623.01470826539
51,89901.98160530238
52,109441.35194685374
53,105481.92553166173
54,99912.11131126314
55,77319.64345747212
56,77319.64116408034
57,78553.32325217927
58,75210.67834615156
59,78551.75924617112
60,86558.24357232952
61,86904.88055886803
62,75856.39079284994
63,79937.72900115758
64,126592.13033208341
65,75210.68056520716
66,105481.92553961382
67,118499.56446736222
68,76847.47389765315
69,86558.24386442438
70,76847.47390464906
71,79937.7290274667
72,79242.3951218862
73,109442.02694834452
74,146947.07311145565
75,79242.39511946657
76,75268.20375535528
77,104436.64327426898
78,79243.37946661847
79,79243.37958148967
80,74511.2373602768
81,86558.2437006868
82,78551.75926646721
83,74204.67496829666
84,109442.02696739476
85,74511.23504852799
86,73808.21135365253
87,75167.35035202565
88,126592.13251139878
89,76749.5984213725
90,78551.7592580246
91,69719.74578143841
92,69803.21987202036
93,89901.98187967773
94,73799.70051250848
95,82338.96517841655
96,82338.96553157941
97,78553.32325198561
98,69803.21982915836
99,105481.92570717391
100,99912.10930853662
101,99912.10930300412
102,146947.07306692933
103,82049.22278271554
104,109441.3522761271
105,118499.56442450023
106,86904.88049437587
107,73808.21115128639
108,74204.67473424807
109,76749.60073312133
110,146947.07304303983
111,110040.70062808711
112,74204.67475779685
113,78551.7591912731
114,109442.02697239433
115,80623.01467391763
116,114103.8724066078
117,75268.20377792118
118,78553.32324313067
119,75268.20377318675
120,69720.1261197856
121,79243.3795935257
122,75167.3501834756
123,78553.32323119945
124,78553.32324714634
125,75210.68066132002
126,105481.927848943
127,108133.2758701306
128,79242.39278687829
129,79242.39509640067
130,78553.32324472672
131,75210.68068288593
132,74204.67479374066
133,79937.72905280291
134,78551.75924980953
135,126592.13261805494
136,82049.22050561366
137,109441.12737313748
138,105481.92787392855
139,110040.7005492996
140,108133.2757791489
141,75167.35046496996
142,118531.67198616834
143,69772.94637072184
144,146947.07316490693
145,75856.39076896044
146,79937.72670050692
147,74204.67479874023
148,114103.8724543868
149,108133.27587271055
150,110040.70047729037
151,82049.22048898306
152,109442.02690188913
153,126592.13263326591
154,69720.12624111153
155,69803.21772203619
156,110040.7005921616
157,69772.94623908016
158,69772.9463457363
159,86558.2435583666
160,74204.67492051766
161,109442.02695534045
162,118531.67232017616
163,114103.87251153747
164,86558.24364400902
165,69720.12640733799
166,77315.575762823
167,76749.59841520018
168,77319.64329717091
169,86558.24362723855
170,78553.3209019599
171,126592.13260937641
172,73799.70286257804
173,77315.57574892831
174,105481.92776617635
175,77319.64098856818
176,77319.64299682717
177,79242.3951117515
178,73808.2091430274
179,75210.6806929246
180,114103.87259772376
181,79174.3492643576
182,69720.1264060144
183,69720.1262604754
184,69720.12639416094
185,99912.111664426
186,77319.64333261474
187,73808.21148055974
188,75167.35048885945
189,75210.68067815146
190,74204.67480277932
191,78551.7569186336
192,78551.75926158411
193,78551.75922933967
194,126592.1325352883
195,146947.07083177482
196,89901.98191432464
197,69720.12628833565
198,76847.47358041581
199,79242.39512029015
200,75210.67832952098
201,74204.67479698388
202,79937.728990146
203,78551.75891689777
204,73799.70285367925
205,109441.35225929567
206,80623.01470890526
207,77315.57570428656
208,77315.57343164706
209,82338.9654903036
210,79242.39278287209
211,73808.21146852372
212,78553.32324910982
213,75210.68062291274
214,79937.72901225573
215,69772.94631108937
216,78551.7591192639
217,109442.02694012945
218,109442.02696511499
